index,index,index.1,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_11_rel,sub_12_rel,sub_13_rel,sub_14_rel,sub_15_rel,sub_16_rel,sub_17_rel,sub_18_rel,sub_19_rel,sub_20_rel,sub_21_rel,sub_22_rel,sub_23_rel,sub_24_rel,sub_25_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents,sub_11_sents,sub_12_sents,sub_13_sents,sub_14_sents,sub_15_sents,sub_16_sents,sub_17_sents,sub_18_sents,sub_19_sents,sub_20_sents,sub_21_sents,sub_22_sents,sub_23_sents,sub_24_sents,sub_25_sents
586,,,2021-10-01,https://www.benzinga.com/government/21/10/23198880/apple-microsoft-disney-and-amazon-lobby-against-climate-bill-report,-0.5143316918158497,-0.9330344597498575,0.5302107976567766,3,0.04990339307938919,0.05593100398147858,1.4847979959094622,,,,,,,,,,,,,,,,,,,,,,,0.04990339307938919,0.05593100398147858,1.4847979959094622,,,,,,,,,,,,,,,,,,,,,,
593,,,2021-10-03,http://feeds.benzinga.com/~r/benzinga/tech/~3/Rc4-uIbtut0/microsoft-fixing-remaining-windows-11-bugs-ahead-of-october-5-release,-0.06332411395457482,-0.9925999641418457,0.06379620818274138,1,0.06379620818274138,,,,,,,,,,,,,,,,,,,,,,,,,0.06379620818274138,,,,,,,,,,,,,,,,,,,,,,,,
587,,,2021-10-04,http://feeds.benzinga.com/~r/benzinga/media/~3/0yOqPny6lOM/color-star-announces-new-business-division-in-dubai-to-bolster-metaverse-development,0.9656310033462018,0.9923555850982666,0.9730695507201499,1,0.9730695507201499,,,,,,,,,,,,,,,,,,,,,,,,,0.9730695507201499,,,,,,,,,,,,,,,,,,,,,,,,
583,,,2021-10-04,http://feeds.benzinga.com/~r/benzinga/tech/~3/ZZNaxZmJ1Po/oracle-loses-court-appeal-for-jedi-contract-bloomberg,-0.06045413825494487,-0.9965597987174988,0.06066283060258403,1,0.06066283060258403,,,,,,,,,,,,,,,,,,,,,,,,,0.06066283060258403,,,,,,,,,,,,,,,,,,,,,,,,
581,,,2021-10-05,https://www.benzinga.com/markets/options/21/10/23249237/what-is-the-smart-money-doing-with-microsoft,0.7254470911643677,-0.003997147083282471,0.7912152033378549,2,1.5242671522656668,0.05816325441004299,,,,,,,,,,,,,,,,,,,,,,,,1.5242671522656668,0.05816325441004299,,,,,,,,,,,,,,,,,,,,,,,
582,,,2021-10-05,https://www.benzinga.com/news/21/10/23241771/microsoft-debt-overview,-0.05330986637472024,-0.8448588848114014,0.06309913682995788,1,0.06309913682995788,,,,,,,,,,,,,,,,,,,,,,,,,0.06309913682995788,,,,,,,,,,,,,,,,,,,,,,,,
605,,,2021-10-06,http://feeds.benzinga.com/~r/benzinga/media/~3/neK4yDnV9kM/jim-cramer-advises-caution-in-facebook-despite-rebound-but-sees-huge-buy-opportunity-in-,-0.0615644527654059,-0.9905773401260376,0.0621500717526737,1,0.0621500717526737,,,,,,,,,,,,,,,,,,,,,,,,,0.0621500717526737,,,,,,,,,,,,,,,,,,,,,,,,
594,,,2021-10-06,http://feeds.benzinga.com/~r/benzinga/tech/~3/jbSZ9aow0fc/microsoft-offered-free-ice-cream-and-nfts-for-windows-11-launch-what-investors-should-know,0.6132771969588701,0.7616674304008484,0.805177131751736,1,0.805177131751736,,,,,,,,,,,,,,,,,,,,,,,,,0.805177131751736,,,,,,,,,,,,,,,,,,,,,,,,
598,,,2021-10-06,http://feeds.benzinga.com/~r/benzinga/media/~3/pc9C22ifYw8/apple-supplier-pegatron-joins-hands-with-microsoft-for-5g-private-networks-report,-0.23124023176118874,-0.9713687896728516,0.23805606502867815,1,0.23805606502867815,,,,,,,,,,,,,,,,,,,,,,,,,0.23805606502867815,,,,,,,,,,,,,,,,,,,,,,,,
578,,,2021-10-07,http://feeds.benzinga.com/~r/benzinga/markets/options/~3/Wmx2gbN98H4/looking-at-microsofts-smart-money-trades,0.003092134524834811,-0.0052246153354644775,0.06160486353206984,2,0.06504636879244066,0.058163358271699016,,,,,,,,,,,,,,,,,,,,,,,,0.06504636879244066,0.058163358271699016,,,,,,,,,,,,,,,,,,,,,,,
576,,,2021-10-07,https://www.benzinga.com/news/21/10/23285966/more-revelations-on-solarwinds-hack,-0.9751991912462714,-0.9976160526275635,0.9775295702968596,1,0.9775295702968596,,,,,,,,,,,,,,,,,,,,,,,,,0.9775295702968596,,,,,,,,,,,,,,,,,,,,,,,,
