index,index,pub_date,url,scores,sentiments,relevance,rel_subdocs,sub_1_rel,sub_2_rel,sub_3_rel,sub_4_rel,sub_5_rel,sub_6_rel,sub_7_rel,sub_8_rel,sub_9_rel,sub_10_rel,sub_1_sents,sub_2_sents,sub_3_sents,sub_4_sents,sub_5_sents,sub_6_sents,sub_7_sents,sub_8_sents,sub_9_sents,sub_10_sents
88,,2021-12-05,https://www.benzinga.com/trading-ideas/movers/21/12/24388508/amd-vs-nvidia-which-chipmaker-is-poised-to-end-2021-with-better-returns,1.7590367187834737,0.8700056870778402,2.109734318897369,3,2.752725971673967,2.736118310327783,0.8403586746903564,,,,,,,,2.752725971673967,2.736118310327783,0.8403586746903564,,,,,,,
0,,2021-12-05,https://drivers.softpedia.com/get/GRAPHICS-BOARD/NVIDIA/ASUS-TUF-Gaming-FA706IH-NVIDIA-Graphics-Driver-26-21-14-4223-for-Windows-10-64-bit.shtml,-0.04765680552164925,-0.9935354789098104,0.04796634524724632,6,0.04501290145089242,0.052701194092616074,0.045049620708724133,0.04781843456813807,0.04501290145089242,0.05220301921221482,,,,,0.04501290145089242,0.052701194092616074,0.045049620708724133,0.04781843456813807,0.04501290145089242,0.05220301921221482,,,,
47,,2021-12-05,https://finance.yahoo.com/news/five-words-marked-2021-world-073000723.html,-0.03998957152273548,-0.9645211100578308,0.041460545659117595,1,0.041460545659117595,,,,,,,,,,0.041460545659117595,,,,,,,,,
20,,2021-12-05,https://aws-native.com/new-ec2-instance-types-of-reinvent-2021,-0.04173874598439267,-0.9961279034614563,0.04190099066530937,1,0.04190099066530937,,,,,,,,,,0.04190099066530937,,,,,,,,,
19,,2021-12-05,https://www.livemint.com/companies/news/nvidias-deal-setback-eased-by-soaring-chip-demand-11638710416968.html,-0.1278254814941494,-0.3550325367185805,0.6501032589332545,9,0.04407886415154344,2.2515617447396337,0.0524012605369441,0.05265105550836945,0.044362132248450196,2.104453736025207,1.2122665107858708,0.04454103110049873,0.04461299530277299,,0.04407886415154344,2.2515617447396337,0.0524012605369441,0.05265105550836945,0.044362132248450196,2.104453736025207,1.2122665107858708,0.04454103110049873,0.04461299530277299,
18,,2021-12-05,https://mspoweruser.com/surface-laptop-go-december-firmware-update/,0.025274132387043964,0.611883282661438,0.04130547949784147,1,0.04130547949784147,,,,,,,,,,0.04130547949784147,,,,,,,,,
16,,2021-12-05,https://www.debugpoint.com/2021/12/endeavouros-review-21-4-atlantis/,0.007295281476919063,0.3273975650469462,0.04513816470270948,3,0.039478043872771394,0.039478043872771394,0.05645840636258566,,,,,,,,0.039478043872771394,0.039478043872771394,0.05645840636258566,,,,,,,
15,,2021-12-05,https://soyacincau.com/2021/12/05/asus-proart-studiobook-16-oled-malaysia-price-spec/,-0.04963381784735954,-0.987671971321106,0.05025334249484629,1,0.05025334249484629,,,,,,,,,,0.05025334249484629,,,,,,,,,
14,,2021-12-05,https://www.bleepingcomputer.com/forums/t/764699/cpu-running-at-100-all-the-time-freezes-unless-i-open-task-manager/,-0.051272613674429035,-0.9906913816928864,0.05175977058211338,10,0.042781555085338464,0.04046203482814312,0.05583131946449519,0.04953447926356015,0.060070251867151855,0.05962887661984981,0.05583131946449519,0.05067071061655544,0.0509512054539473,0.0518359531575973,0.042781555085338464,0.04046203482814312,0.05583131946449519,0.04953447926356015,0.060070251867151855,0.05962887661984981,0.05583131946449519,0.05067071061655544,0.0509512054539473,0.0518359531575973
9,,2021-12-05,https://indianexpress.com/article/technology/techook/if-your-new-graphics-card-is-running-at-8x-speeds-heres-what-you-could-try-7657585/,-0.04926852498933455,-0.9991387128829956,0.04931099591484266,1,0.04931099591484266,,,,,,,,,,0.04931099591484266,,,,,,,,,
8,,2021-12-05,https://news.softpedia.com/news/lenovo-legion-5-pro-review-534465.shtml,-4.0030310971522765e-05,-0.009582221508026123,0.0419859363539955,2,0.042353011488072884,0.04161886121991812,,,,,,,,,0.042353011488072884,0.04161886121991812,,,,,,,,
7,,2021-12-05,https://mspoweruser.com/microsoft-surface-duo-deal-att-model/,0.03242895771426192,0.7845133543014526,0.041336399866815976,1,0.041336399866815976,,,,,,,,,,0.041336399866815976,,,,,,,,,
